装置,部品,症状,Error,条件,工程,原因,対策,備考,発生日
装置B,Motor,振動,E102,高温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置BのMotorで振動を確認。高温環境下で発生。,2026-04-05
装置A,Bearing,振動,E103,高湿度,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで振動を確認。高湿度環境下で発生。,2026-06-28
装置A,Valve,漏れ,E101,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。通常環境下で発生。,2025-09-03
装置A,Belt,誤動作,E102,通常,組立,摩耗,Bearing交換・定期給油周期の見直し,装置AのBeltで誤動作を確認。通常環境下で発生。,2026-02-08
装置A,Motor,振動,E102,高温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置AのMotorで振動を確認。高温環境下で発生。,2025-11-14
装置A,Bearing,振動,E103,通常,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。通常環境下で発生。,2025-09-10
装置B,Bearing,異音,E103,通常,組立,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。通常環境下で発生。,2025-12-20
装置B,Sensor,誤動作,E310,高温,搬送,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。高温環境下で発生。,2026-01-29
装置A,Belt,異音,E103,高湿度,梱包,配線不良,配線点検・コネクタ交換,装置AのBeltで異音を確認。高湿度環境下で発生。,2026-02-27
装置C,Belt,異音,E103,高湿度,検査,潤滑不足,給油・グリスアップ実施,装置CのBeltで異音を確認。高湿度環境下で発生。,2026-02-15
装置A,Bearing,異音,E101,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。通常環境下で発生。,2026-03-10
装置B,Valve,漏れ,E310,通常,搬送,配線不良,配線点検・コネクタ交換,装置BのValveで漏れを確認。通常環境下で発生。,2025-08-21
装置A,Valve,漏れ,E101,高温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。高温環境下で発生。,2025-12-10
装置C,Belt,漏れ,E205,低温,検査,摩耗,Bearing交換・定期給油周期の見直し,装置CのBeltで漏れを確認。低温環境下で発生。,2026-01-16
装置B,Belt,振動,E102,夜間,組立,配線不良,配線点検・コネクタ交換,装置BのBeltで振動を確認。夜間環境下で発生。,2026-07-04
装置B,Valve,漏れ,E101,夜間,組立,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。夜間環境下で発生。,2026-03-30
装置C,Sensor,誤動作,E310,通常,組立,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。通常環境下で発生。,2026-02-09
装置B,Belt,発熱,E205,高湿度,搬送,異物混入,フィルター清掃・防塵カバー追加,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-20
装置B,Motor,発熱,E103,通常,搬送,配線不良,配線点検・コネクタ交換,装置BのMotorで発熱を確認。通常環境下で発生。,2025-12-31
装置C,Motor,発熱,E101,通常,組立,摩耗,Bearing交換・定期給油周期の見直し,装置CのMotorで発熱を確認。通常環境下で発生。,2026-02-26
装置C,Motor,漏れ,E310,通常,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置CのMotorで漏れを確認。通常環境下で発生。,2026-05-09
装置C,Bearing,振動,E101,高温,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで振動を確認。高温環境下で発生。,2025-09-25
装置C,Motor,異音,E102,通常,検査,配線不良,配線点検・コネクタ交換,装置CのMotorで異音を確認。通常環境下で発生。,2026-01-24
装置B,Motor,振動,E101,高湿度,搬送,潤滑不足,給油・グリスアップ実施,装置BのMotorで振動を確認。高湿度環境下で発生。,2026-01-08
装置A,Valve,漏れ,E310,高湿度,搬送,配線不良,配線点検・コネクタ交換,装置AのValveで漏れを確認。高湿度環境下で発生。,2026-06-04
装置C,Valve,漏れ,E101,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。通常環境下で発生。,2026-04-06
装置C,Bearing,振動,E101,夜間,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで振動を確認。夜間環境下で発生。,2025-11-27
装置B,Valve,漏れ,E101,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。高温環境下で発生。,2026-07-12
装置B,Bearing,異音,E103,高温,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。高温環境下で発生。,2026-01-22
装置A,Sensor,誤動作,E103,通常,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2026-03-20
装置B,Valve,漏れ,E101,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。通常環境下で発生。,2025-08-05
装置A,Belt,異音,E103,夜間,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBeltで異音を確認。夜間環境下で発生。,2025-07-29
装置B,Valve,漏れ,E101,低温,検査,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。低温環境下で発生。,2026-03-22
装置B,Motor,発熱,E310,低温,梱包,配線不良,配線点検・コネクタ交換,装置BのMotorで発熱を確認。低温環境下で発生。,2026-06-15
